now_us,bytes_acked,mss,rtt_us,tp_delivered_rate,tp_rate_interval_us,tp_delivered,lost,retrans,app_limited
100041879,37918920,1308,22435049,13779,36798867,28991,0,0,0
100041883,37920228,1308,22435053,13775,36766755,28992,0,0,0
100041888,37921536,1308,22432648,13776,36766755,28993,0,0,0
100041893,37922844,1308,22432653,13777,36769165,28994,0,0,0
100041897,37924152,1308,22430246,13778,36769165,28995,0,0,0
100041962,37925460,1308,22430311,13779,36771576,28996,0,0,0
100041967,37926768,1308,22427905,13780,36771576,28997,0,0,0
100041971,37928076,1308,22427909,13781,36773987,28998,0,0,0
100041976,37929384,1308,22425503,13782,36773987,28999,0,0,0
100041981,37930692,1308,22425508,13783,36776398,29000,0,0,0
100041985,37932000,1308,22423101,13784,36776398,29001,0,0,0
100041990,37933308,1308,22423106,13785,36778809,29002,0,0,0
100041994,37934616,1308,22420699,13786,36778809,29003,0,0,0
100042001,37935924,1308,22420706,13787,36781220,29004,0,0,0
100042006,37937232,1308,22418301,13788,36781220,29005,0,0,0
100042010,37938540,1308,22418305,13789,36783630,29006,0,0,0
100042015,37939848,1308,22415899,13790,36783630,29007,0,0,0
100042094,37941156,1308,22414772,13791,36786041,29008,0,0,0
100042098,37942464,1308,22414776,13792,36787247,29009,0,0,0
100042103,37943772,1308,22412371,13793,36787247,29010,0,0,0
100042108,37945080,1308,22412376,13794,36789657,29011,0,0,0
100042112,37946388,1308,22409969,13795,36789657,29012,0,0,0
100042117,37947696,1308,22409974,13796,36792068,29013,0,0,0
100042122,37949004,1308,22407568,13797,36792068,29014,0,0,0
100042127,37950312,1308,22407573,13798,36794479,29015,0,0,0
100042245,37951620,1308,22405280,13799,36794479,29016,0,0,0
100042250,37952928,1308,22405285,13800,36796890,29017,0,0,0
100042254,37954236,1308,22402878,13801,36796890,29018,0,0,0
100042259,37955544,1308,22402883,13802,36799301,29019,0,0,0
100042264,37956852,1308,22400477,13803,36799301,29020,0,0,0
100042268,37958160,1308,22400481,13804,36801712,29021,0,0,0
100042273,37959468,1308,22398076,13805,36801712,29022,0,0,0
100042277,37960776,1308,22398080,13806,36804122,29023,0,0,0
100042285,37962084,1308,22395677,13807,36804122,29024,0,0,0
100042291,37963392,1308,22395683,13806,36802977,29025,0,0,0
100042295,37964700,1308,22393275,13807,36802977,29026,0,0,0
100042300,37966008,1308,22393280,13808,36805389,29027,0,0,0
100042304,37967316,1308,22390872,13809,36805389,29028,0,0,0
100042308,37968624,1308,22390876,13810,36807801,29029,0,0,0
100042332,37971240,1308,22388488,13811,36807801,29031,0,0,0
100042337,37972548,1308,22386081,13813,36810213,29032,0,0,0
100042343,37973856,1308,22384881,13814,36812625,29033,0,0,0
100042348,37975164,1308,22384886,13815,36813831,29034,0,0,0
100042352,37976472,1308,22382478,13816,36813831,29035,0,0,0
100042357,37977780,1308,22382483,13817,36816243,29036,0,0,0
100042362,37979088,1308,22380076,13818,36816243,29037,0,0,0
100042366,37980396,1308,22380080,13819,36818655,29038,0,0,0
100042483,37981704,1308,22377785,13820,36818655,29039,0,0,0
100042488,37983012,1308,22377790,13821,36821067,29040,0,0,0
100042492,37984320,1308,22375382,13822,36821067,29041,0,0,0
100043164,37985628,1308,22376054,13823,36823479,29042,0,0,0
100043169,37986936,1308,22373647,13824,36823479,29043,0,0,0
