now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_cwnd,snd_una
1342420,1047136,1376,455874,379,460278,762,0,0,0,2790396512,4651161,770.0,
1342435,1048512,1376,455889,380,460296,763,0,0,0,2790396512,4656842,771.0,
1342450,1049888,1376,454913,381,460311,764,0,0,0,2790396512,4662548,772.0,
1342467,1051264,1376,454930,382,460326,765,0,0,0,2790396512,4669546,773.0,
1342483,1052640,1376,453954,383,460343,766,0,0,0,2790396512,4676406,774.0,
1342510,1054016,1376,453981,382,456144,767,0,0,0,2790396512,4684419,775.0,
1342526,1055392,1376,453012,383,456171,768,0,0,0,2790396512,4692158,776.0,
1342540,1056768,1376,453026,384,456187,769,0,0,0,2790396512,4700942,777.0,
1345117,1058144,1376,454617,385,456201,770,0,0,0,2790413024,4709374,778.0,
1345149,1063648,1376,452683,385,457099,774,0,0,0,2790413024,4715453,779.0,
1345169,1065024,1376,452703,389,457131,775,0,0,0,2790413024,4739647,783.0,
1345185,1066400,1376,451736,390,457151,776,0,0,0,2790413024,4748223,784.0,
1345200,1067776,1376,451751,391,457167,777,0,0,0,2790413024,4757759,785.0,
1348322,1069152,1376,453889,392,457182,778,0,0,0,2790425408,4766852,786.0,
1352074,1070528,1376,457641,393,460304,779,0,0,0,2790446048,4772764,787.0,
1352112,1071904,1376,441743,394,464056,780,0,0,0,2790446048,4773762,788.0,
1352130,1073280,1376,441761,394,441790,781,0,0,0,2790446048,4796352,789.0,
1352147,1074656,1376,441285,395,441808,782,0,0,0,2790446048,4816986,790.0,
1352162,1076032,1376,441300,395,441738,783,0,0,0,2790446048,4836547,791.0,
1352176,1077408,1376,440324,396,441753,784,0,0,0,2790446048,4854497,792.0,
1352878,1078784,1376,441026,396,441239,785,0,0,0,2790452928,4872371,793.0,
1352902,1080160,1376,431581,397,441941,786,0,0,0,2790452928,4887893,794.0,
1352917,1081536,1376,431596,397,431631,787,0,0,0,2790452928,4915295,795.0,
1352935,1082912,1376,431115,398,431646,788,0,0,0,2790452928,4940224,796.0,
1353125,1088416,1376,429296,398,431574,792,0,0,0,2790452928,4963647,797.0,
1353148,1089792,1376,429319,398,431675,793,0,0,0,2790452928,5003528,801.0,
1356185,1098048,1376,402838,399,431698,799,0,0,0,2790465312,5025802,802.0,
1356219,1100800,1376,402363,404,447305,801,0,0,0,2790465312,5074677,808.0,
1356237,1114560,1376,396623,405,446996,811,0,0,0,2790465312,5139751,810.0,
1356258,1117312,1376,394147,409,445567,813,0,0,0,2790465312,5252171,820.0,
1356274,1118688,1376,394163,410,452795,814,0,0,0,2790465312,5316040,822.0,
1356289,1121440,1376,393650,411,452795,816,0,0,0,2790465312,5372007,823.0,
1356304,1126944,1376,391551,412,452504,820,0,0,0,2790465312,5430075,825.0,
1356319,1128320,1376,390509,407,450294,821,0,0,0,2790465312,5498330,829.0,
1357102,1129696,1376,391292,408,452408,822,0,0,0,2790469440,5545758,830.0,
1357126,1148960,1376,383918,409,452408,836,0,0,0,2790469440,5587342,831.0,
1357149,1164096,1376,377722,409,453217,847,0,0,0,2790469440,5714708,845.0,
