now_us,each_delv_MB,ss_status,lost_pkt,cwnd_MB,ssthresh_pkt,rtt_us,total_delv_B,total_retrans_pkt,total_sent_B,cwnd_pkt
58924961,1308,2,0,3.827208,48,27837760,8532084,0,12356676,2926
58925033,1308,2,0,3.827208,48,27799398,8533392,0,12359292,2926
58964390,1308,2,0,3.828516,48,27838755,8534700,0,12361908,2927
58964480,1308,2,0,3.828516,48,27799452,8536008,0,12361908,2927
58964551,1308,2,0,3.829824,48,27799523,8537316,0,12364524,2928
59004156,1308,2,0,3.829824,48,27834472,8538624,0,12367140,2928
59004276,1308,2,0,3.831132,48,27834592,8539932,0,12369756,2929
59004470,1308,2,0,3.831132,48,27798767,8541240,0,12369756,2929
59045272,1308,2,0,3.83244,48,27837236,8542548,0,12372372,2930
59045390,1308,2,0,3.83244,48,27837354,8543856,0,12374988,2930
59084340,1308,2,0,3.833748,48,27839637,8545164,0,12377604,2931
59084458,1308,2,0,3.833748,48,27837417,8546472,0,12378912,2931
59084509,1308,2,0,3.835056,48,27837468,8547780,0,12381528,2932
59124119,1308,2,0,3.835056,48,27839035,8549088,0,12381528,2932
59124243,1308,2,0,3.836364,48,27839159,8550396,0,12384144,2933
59124294,1308,2,0,3.836364,48,27834523,8551704,0,12386760,2933
59164787,1308,2,0,3.837672,48,27875016,8553012,0,12389376,2934
59164910,1308,2,0,3.837672,48,27865759,8554320,0,12390684,2934
59204011,1308,2,0,3.83898,48,27904860,8555628,0,12393300,2935
59204132,1308,2,0,3.83898,48,27879561,8556936,0,12394608,2935
59204205,1308,2,0,3.840288,48,27879634,8558244,0,12397224,2936
59244928,1308,2,0,3.840288,48,27915660,8559552,0,12397224,2936
59245060,1308,2,0,3.841596,48,27915792,8560860,0,12401148,2937
59245102,1308,2,0,3.841596,48,27906430,8562168,0,12401148,2937
59284297,1308,2,0,3.842904,48,27945625,8563476,0,12403764,2938
59284422,1308,2,0,3.842904,48,27919374,8564784,0,12406380,2938
59284473,1308,2,0,3.844212,48,27917070,8566092,0,12408996,2939
59324142,1308,2,0,3.844212,48,27956739,8567400,0,12408996,2939
59324264,1308,2,0,3.84552,48,27919939,8568708,0,12411612,2940
59364438,1308,2,0,3.84552,48,27957755,8570016,0,12414228,2940
59364567,1308,2,0,3.846828,48,27957884,8571324,0,12416844,2941
59364608,1308,2,0,3.846828,48,27919406,8572632,0,12416844,2941
59404395,1308,2,0,3.848136,48,27959193,8573940,0,12419460,2942
59404519,1308,2,0,3.848136,48,27954590,8575248,0,12422076,2942
59404571,1308,2,0,3.849444,48,27920280,8576556,0,12424692,2943
59444422,1308,2,0,3.849444,48,27960131,8577864,0,12424692,2943
59484611,1308,2,0,3.850752,48,27995584,8579172,0,12427308,2944
59484733,1308,2,0,3.850752,48,27995706,8580480,0,12429924,2944
59525381,1308,2,0,3.85206,48,28000786,8581788,0,12432540,2945
59525498,1308,2,0,3.85206,48,28000903,8583096,0,12433848,2945
59564132,1308,2,0,3.853368,48,28034791,8584404,0,12436464,2946
59564250,1308,2,0,3.853368,48,28034909,8585712,0,12437772,2946
59564305,1308,2,0,3.854676,48,27999145,8587020,0,12440388,2947
59604919,1308,2,0,3.854676,48,28039759,8588328,0,12440388,2947
59605042,1308,2,0,3.855984,48,28035123,8589636,0,12443004,2948
