now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
7597832,480036,1308,834627,96,1160894,368,0,0,0,2781302299,223988
7597852,481344,1308,834647,96,1165718,369,0,0,0,2781302299,224878
7637057,482652,1308,837374,97,1165718,370,0,0,0,2781310147,225662
7637114,483960,1308,832608,97,1160144,371,0,0,0,2781310147,226262
7637267,485268,1308,832761,97,1164967,372,0,0,0,2781310147,226949
7637287,486576,1308,797525,98,1164967,373,0,0,0,2781310147,227548
7679774,487884,1308,840012,97,1191042,374,0,0,0,2781317995,229268
7679916,489192,1308,830574,98,1191042,375,0,0,0,2781317995,231202
7679947,490500,1308,830605,98,1170759,376,0,0,0,2781317995,233457
7679984,493116,1308,811434,99,1170759,378,0,0,0,2781317995,233798
7718002,494424,1308,830376,99,1180829,379,0,0,0,2781328459,236646
7718067,495732,1308,830441,99,1199905,380,0,0,0,2781328459,238715
7718098,497040,1308,811487,100,1199905,381,0,0,0,2781328459,238880
7718348,498348,1308,811737,100,1187319,382,0,0,0,2781328459,241593
7760218,499656,1308,834603,101,1187319,383,0,0,0,2781334999,242316
7760300,500964,1308,834685,100,1167509,384,0,0,0,2781337615,244007
7760333,502272,1308,815948,101,1167509,385,0,0,0,2781337615,243828
7760360,503580,1308,815975,101,1186279,386,0,0,0,2781337615,246254
7798943,504888,1308,835946,102,1186279,387,0,0,0,2781342847,246724
7799042,506196,1308,836045,98,1123512,388,0,0,0,2781345463,248288
7799078,507504,1308,818054,99,1123512,389,0,0,0,2781348079,247992
7799107,508812,1308,818083,100,1141539,390,0,0,0,2781348079,250303
7839701,510120,1308,840651,101,1141539,391,0,0,0,2781350695,250668
7839794,511428,1308,840744,97,1120909,392,0,0,0,2781353311,252029
7839833,512736,1308,823521,98,1120909,393,0,0,0,2781355927,251557
7839862,514044,1308,823550,99,1138171,394,0,0,0,2781355927,253691
7879821,515352,1308,846248,100,1138171,395,0,0,0,2781358543,253902
7879914,516660,1308,846341,96,1073950,396,0,0,0,2781361159,255108
7879986,517968,1308,829759,97,1073950,397,0,0,0,2781363775,254506
7917249,519276,1308,867022,98,1090604,398,0,0,0,2781365083,256500
7917344,520584,1308,850463,99,1090604,399,0,0,0,2781367699,255166
7917382,521892,1308,850501,100,1107258,400,0,0,0,2781370315,256510
7917411,523200,1308,833877,101,1107258,401,0,0,0,2781370315,256044
7959854,524508,1308,876320,97,1083932,402,0,0,0,2781372931,258142
7959953,525816,1308,860478,98,1083932,403,0,0,0,2781375547,256718
7959991,527124,1308,860516,99,1099873,404,0,0,0,2781378163,257939
7960020,528432,1308,844604,100,1099873,405,0,0,0,2781378163,257381
7999445,529740,1308,884029,95,1035443,406,0,0,0,2781380779,259350
7999918,531048,1308,869242,96,1035443,407,0,0,0,2781383395,257951
7999961,532356,1308,861656,97,1050703,408,0,0,0,2781386011,259134
7999982,533664,1308,861677,98,1058332,409,0,0,0,2781386011,258846
8037904,534972,1308,884339,99,1058332,410,0,0,0,2781388627,260427
8038413,536280,1308,884848,100,1073592,411,0,0,0,2781391243,259347
8038454,537588,1308,869629,101,1073592,412,0,0,0,2781393859,260211
8038475,538896,1308,869650,97,1044106,413,0,0,0,2781393859,259945
8079278,540204,1308,895612,98,1044106,414,0,0,0,2781397783,261528
8079367,541512,1308,895701,99,1058947,415,0,0,0,2781399091,260347
8079409,542820,1308,880902,100,1058947,416,0,0,0,2781401707,261119
8079436,544128,1308,880929,96,995130,417,0,0,0,2781401707,260771
8117674,545436,1308,904953,97,995130,418,0,0,0,2781404323,262263
8117768,546744,1308,905047,98,1009344,419,0,0,0,2781406939,261099
8117807,548052,1308,890872,99,1009344,420,0,0,0,2781409555,261866
8117834,549360,1308,890899,96,979621,421,0,0,0,2781409555,261504
8157767,550668,1308,916985,97,979621,422,0,0,0,2781412171,262963
8157859,551976,1308,917077,98,993468,423,0,0,0,2781414787,261719
8157902,553284,1308,903272,99,993468,424,0,0,0,2781417403,262398
8157928,554592,1308,903298,100,1007316,425,0,0,0,2781417403,261958
8200111,555900,1308,931634,101,1007316,426,0,0,0,2781420019,263328
8200203,557208,1308,931726,97,959915,427,0,0,0,2781422635,261953
