now_us,bbr_full_bw,bbr_full_bw_cnt,bbr_max_bw,round_start,app_limited,bbr_min_rtt,bbr_state
6518692,1691,1,1974,0,0,586634,0
6519723,1691,1,1978,0,0,586634,0
6519754,1691,1,1993,0,0,586634,0
6519774,1691,1,1997,0,0,586634,0
6559022,1691,1,2013,0,0,586634,0
6559112,1691,1,2016,0,0,586634,0
6559147,1691,1,2031,0,0,586634,0
6559170,1691,1,2077,0,0,586634,0
6559190,1691,1,2093,0,0,586634,0
6559209,1691,1,2260,0,0,586634,0
6600177,1691,1,2278,0,0,586634,0
6600267,1691,1,2280,0,0,586634,0
6600302,1691,1,2290,0,0,586634,0
6600353,1691,1,2308,0,0,586634,0
6600378,1691,1,2310,0,0,586634,0
6600398,1691,1,2327,0,0,586634,0
6639576,1691,1,2346,0,0,586634,0
6639674,1691,1,2416,0,0,586634,0
6639869,1691,1,2434,0,0,586634,0
6639899,1691,1,2435,0,0,586634,0
6639916,1691,1,2453,0,0,586634,0
6678943,1691,1,2678,0,0,586634,0
6679045,1691,1,2699,0,0,586634,0
6679078,1691,1,2718,0,0,586634,0
6679100,1691,1,2737,0,0,586634,0
6679122,1691,1,2737,0,0,586634,0
6679477,1691,1,2756,0,0,586634,0
6718487,1691,1,2756,0,0,586634,0
6718589,1691,1,2774,0,0,586634,0
6718625,1691,1,2774,0,0,586634,0
6718648,1691,1,2792,0,0,586634,0
6718669,1691,1,2901,0,0,586634,0
6718729,1691,1,2923,0,0,586634,0
6759614,1691,1,2923,0,0,586634,0
6759706,1691,1,2923,0,0,586634,0
6759746,1691,1,2923,0,0,586634,0
6759768,1691,1,2931,0,0,586634,0
6759789,1691,1,2952,0,0,586634,0
6799015,1691,1,2952,0,0,586634,0
6799105,1691,1,2952,0,0,586634,0
6799138,1691,1,2952,0,0,586634,0
6799407,1691,1,2952,0,0,586634,0
6799442,1691,1,2952,0,0,586634,0
6799459,1691,1,2952,0,0,586634,0
6838985,1691,1,2952,0,0,586634,0
6839072,1691,1,2952,0,0,586634,0
6839105,1691,1,2952,0,0,586634,0
6839127,1691,1,2952,0,0,586634,0
6839149,1691,1,2952,0,0,586634,0
6879690,1691,1,2952,0,0,586634,0
6879778,1691,1,2952,0,0,586634,0
6879813,1691,1,2952,0,0,586634,0
6879835,1691,1,2952,0,0,586634,0
6879855,1691,1,2952,0,0,586634,0
6879874,1691,1,2952,0,0,586634,0
6918943,1691,1,2952,0,0,586634,0
6919035,1691,1,2952,0,0,586634,0
6919070,1691,1,2952,0,0,586634,0
6919097,1691,1,2952,0,0,586634,0
6919118,1691,1,2952,0,0,586634,0
6919398,1691,1,2952,0,0,586634,0
6960091,1691,1,2952,0,0,586634,0
6960178,1691,1,2952,0,0,586634,0
6960213,1691,1,2952,0,0,586634,0
6960236,1691,1,2952,0,0,586634,0
6960293,1691,1,2952,0,0,586634,0
6998625,1691,1,2952,0,0,586634,0
6998716,1691,1,2952,0,0,586634,0
6998756,1691,1,2952,0,0,586634,0
6998778,1691,1,2952,0,0,586634,0
6998799,1691,1,2952,0,0,586634,0
7039431,1691,1,2952,0,0,586634,0
7039521,1691,1,2952,0,0,586634,0
7039558,1691,1,2952,0,0,586634,0
7039582,1691,1,2952,0,0,586634,0
7039604,1691,1,2952,0,0,586634,0
7079114,1691,1,2952,0,0,586634,0
7079204,1691,1,2952,0,0,586634,0
7079242,1691,1,2952,0,0,586634,0
7079272,1691,1,2952,0,0,586634,0
7119645,1691,1,2952,0,0,586634,0
7119734,1691,1,2952,0,0,586634,0
7119770,1691,1,2952,0,0,586634,0
7119793,1691,1,2952,0,0,586634,0
7159683,1691,1,2952,0,0,586634,0
7159771,1691,1,2952,0,0,586634,0
7159808,1691,1,2952,0,0,586634,0
7159868,1691,1,2952,0,0,586634,0
7198862,1691,1,2952,0,0,586634,0
7198951,1691,1,2952,0,0,586634,0
7198987,1691,1,2952,0,0,586634,0
7199009,1691,1,2952,0,0,586634,0
7239438,1691,1,2952,0,0,586634,0
7239527,1691,1,2952,0,0,586634,0
7239564,1691,1,2952,0,0,586634,0
7239592,1691,1,2952,0,0,586634,0
7277950,1691,1,2952,0,0,586634,0
7278568,1691,1,2952,0,0,586634,0
7279322,1691,1,2952,0,0,586634,0
7279357,1691,1,2952,0,0,586634,0
7319348,1691,1,2952,0,0,586634,0
7319443,1691,1,2952,0,0,586634,0
7319525,1691,1,2952,0,0,586634,0
7319551,1691,1,2952,0,0,586634,0
7358593,1691,1,2952,0,0,586634,0
7358690,1691,1,2952,0,0,586634,0
7358726,1691,1,2952,0,0,586634,0
7358753,1691,1,2952,0,0,586634,0
7401298,1691,1,2952,0,0,586634,0
7401389,1691,1,2952,0,0,586634,0
7401424,1691,1,2952,0,0,586634,0
7438879,1691,1,2952,0,0,586634,0
7438967,1691,1,2952,0,0,586634,0
7439005,1691,1,2952,0,0,586634,0
7439457,1691,1,2952,0,0,586634,0
7479036,1691,1,2952,0,0,586634,0
7479336,1691,1,2952,0,0,586634,0
7479376,1691,1,2952,0,0,586634,0
7479401,1691,1,2952,0,0,586634,0
7519739,1691,1,2952,0,0,586634,0
7519829,1691,1,2952,0,0,586634,0
7519864,1691,1,2952,0,0,586634,0
7520221,1691,1,2952,0,0,586634,0
7559407,1691,1,2952,0,0,586634,0
7559500,1691,1,2952,0,0,586634,0
7559535,1691,1,2952,0,0,586634,0
7599283,1691,1,2952,0,0,586634,0
7599374,1691,1,2952,0,0,586634,0
7599409,1691,1,2952,0,0,586634,0
7599433,1691,1,2952,0,0,586634,0
7639363,1691,1,2952,0,0,586634,0
7639453,1691,1,2952,0,0,586634,0
7639490,1691,1,2952,0,0,586634,0
7639514,1691,1,2952,0,0,586634,0
7679136,1691,1,2952,0,0,586634,0
7679278,1691,1,2952,0,0,586634,0
7679312,1691,1,2952,0,0,586634,0
7698388,1691,1,2952,0,0,586634,0
7699492,1691,1,2952,0,0,586634,0
7699585,1691,1,2952,0,0,586634,0
7699613,1691,1,2952,0,0,586634,0
7699633,1691,1,2952,0,0,586634,0
7712997,1691,1,2952,0,0,586634,0
7713084,1691,1,2952,0,0,586634,0
7718020,1691,1,2952,0,0,586634,0
7718093,1691,1,2952,0,0,586634,0
7718133,1691,1,2952,0,0,586634,0
7718179,1691,1,2952,0,0,586634,0
7718534,1691,1,2952,0,0,586634,0
7718924,1691,1,2952,0,0,586634,0
7719022,1691,1,2952,0,0,586634,0
7719041,1691,1,2952,0,0,586634,0
7757114,1691,1,2952,0,0,586634,0
7757203,1691,1,2952,0,0,586634,0
7757239,1691,1,2952,0,0,586634,0
7757261,1691,1,2952,0,0,586634,0
7757283,1691,1,2952,0,0,586634,0
7757303,1691,1,2952,0,0,586634,0
7757324,1691,1,2952,0,0,586634,0
7757345,1691,1,2952,0,0,586634,0
7757376,1691,1,2952,0,0,586634,0
7757397,1691,1,2952,0,0,586634,0
7759015,1691,1,2952,0,0,586634,0
7759046,1691,1,2952,0,0,586634,0
7759064,1691,1,2952,0,0,586634,0
7759100,1691,1,2952,0,0,586634,0
7759118,1691,1,2952,0,0,586634,0
7778668,1691,1,2952,0,0,586634,0
7794355,1691,1,2952,0,0,586634,0
7794602,1691,1,2952,0,0,586634,0
7796792,1691,1,2952,0,0,586634,0
7796859,1691,1,2952,0,0,586634,0
7796885,1691,1,2952,0,0,586634,0
7796905,1691,1,2952,0,0,586634,0
7796924,1691,1,2952,0,0,586634,0
7796941,1691,1,2952,0,0,586634,0
7797091,1691,1,2952,0,0,586634,0
7799094,1691,1,2952,0,0,586634,0
7799139,1691,1,2952,0,0,586634,0
7799289,1691,1,2952,0,0,586634,0
7799310,1691,1,2952,0,0,586634,0
7799330,1691,1,2952,0,0,586634,0
7818797,1691,1,2952,0,0,586634,0
7818867,1691,1,2952,0,0,586634,0
7818892,1691,1,2952,0,0,586634,0
7818914,1691,1,2952,0,0,586634,0
7818935,1691,1,2952,0,0,586634,0
7818955,1691,1,2952,0,0,586634,0
7818976,1691,1,2952,0,0,586634,0
7818997,1691,1,2952,0,0,586634,0
7819028,1691,1,2952,0,0,586634,0
7819050,1691,1,2952,0,0,586634,0
7838980,1691,1,2952,0,0,586634,0
7839044,1691,1,2952,0,0,586634,0
7839073,1691,1,2952,0,0,586634,0
7839094,1691,1,2952,0,0,586634,0
7839389,1691,1,2952,0,0,586634,0
7858639,1691,1,2952,0,0,586634,0
7858725,1691,1,2952,0,0,586634,0
7858755,1691,1,2952,0,0,586634,0
7858778,1691,1,2952,0,0,586634,0
7876836,1691,1,2952,0,0,586634,0
7876925,1691,1,2952,0,0,586634,0
7876963,1691,1,2952,0,0,586634,0
7876993,1691,1,2952,0,0,586634,0
7877015,1691,1,2952,0,0,586634,0
7879116,1691,1,2952,0,0,586634,0
7879373,1691,1,2952,0,0,586634,0
7879402,1691,1,2952,0,0,586634,0
7879422,1691,1,2952,0,0,586634,0
7894672,1691,1,2952,0,0,586634,0
7894773,1691,1,2952,0,0,586634,0
7894803,1691,1,2952,0,0,586634,0
